Dados horários fornecidos pelo sistema QUALAR/CETESB, reduzidos para a escala diaria.
Estacao Ibirapuera
variavel, unidade, descricao
date, dia, yyyy-mm-dd
MP10, ug/m3, concentração de material particulado inalável
CO, ppm, concentração de monóxido de carbono
O3, ug/m3, concentração de ozônio
NO, ug/m3, concentração de óxido de nitrogênio
NO2, ug/m3, concentração de dióxido de nitrogênio
Dados faltantes são representados por "NaN".
date,MP10,CO,O3,NO,NO2
2005-11-12,NaN,NaN,NaN,NaN,NaN
2005-11-13,NaN,NaN,NaN,NaN,NaN
2005-11-14,NaN,NaN,NaN,NaN,NaN
2005-11-15,NaN,NaN,NaN,NaN,NaN
2005-11-16,NaN,NaN,NaN,NaN,NaN
2005-11-17,NaN,NaN,NaN,NaN,NaN
2005-11-18,NaN,NaN,NaN,NaN,NaN
2005-11-19,NaN,NaN,NaN,NaN,NaN
2005-11-20,NaN,NaN,NaN,NaN,NaN
2005-11-21,NaN,NaN,NaN,NaN,NaN
2005-11-22,NaN,NaN,NaN,NaN,NaN
2005-11-23,NaN,NaN,NaN,NaN,NaN
2005-11-24,NaN,NaN,NaN,NaN,NaN
2005-11-25,NaN,NaN,NaN,NaN,NaN
2005-11-26,NaN,NaN,NaN,NaN,NaN
2005-11-27,NaN,NaN,NaN,NaN,NaN
2005-11-28,NaN,NaN,NaN,NaN,NaN
2005-11-29,NaN,NaN,NaN,NaN,NaN
2005-11-30,NaN,NaN,NaN,NaN,NaN
2005-12-01,NaN,0.582,NaN,NaN,NaN
2005-12-02,NaN,0.368,18.500,NaN,NaN
2005-12-03,NaN,0.220,16.870,NaN,NaN
2005-12-04,NaN,NaN,48.174,NaN,NaN
2005-12-05,NaN,NaN,20.478,NaN,NaN
2005-12-06,NaN,NaN,20.905,NaN,NaN
2005-12-07,NaN,NaN,31.913,NaN,NaN
2005-12-08,NaN,NaN,25.000,NaN,NaN
2005-12-09,NaN,NaN,NaN,NaN,NaN
2005-12-10,NaN,NaN,NaN,NaN,NaN
2005-12-11,NaN,NaN,NaN,NaN,NaN
2005-12-12,NaN,NaN,NaN,NaN,NaN
2005-12-13,NaN,NaN,11.333,NaN,NaN
2005-12-14,NaN,NaN,17.500,NaN,NaN
2005-12-15,NaN,NaN,29.217,NaN,NaN
2005-12-16,NaN,NaN,45.870,NaN,NaN
2005-12-17,NaN,NaN,26.174,NaN,NaN
2005-12-18,NaN,0.600,25.826,NaN,NaN
2005-12-19,NaN,0.705,27.391,NaN,NaN
2005-12-20,NaN,0.718,37.545,NaN,NaN
2005-12-21,NaN,0.833,38.591,NaN,NaN
2005-12-22,NaN,0.752,35.739,NaN,NaN
2005-12-23,NaN,0.883,40.870,NaN,NaN
2005-12-24,NaN,0.879,29.348,NaN,NaN
2005-12-25,NaN,0.604,33.304,NaN,NaN
2005-12-26,NaN,0.583,29.783,NaN,NaN
2005-12-27,NaN,0.696,20.957,NaN,NaN
2005-12-28,NaN,0.700,29.696,3.900,22.400
2005-12-29,NaN,0.788,50.095,3.350,27.550
2005-12-30,NaN,0.896,38.130,4.652,31.522
2005-12-31,NaN,1.079,34.435,7.130,28.957
2006-01-01,NaN,1.200,22.625,1.143,20.357
2006-01-02,NaN,NaN,9.435,13.130,30.609
2006-01-03,NaN,NaN,23.130,5.087,30.043
2006-01-04,NaN,NaN,11.043,11.783,40.043
2006-01-05,NaN,0.680,23.609,8.174,53.870
2006-01-06,NaN,0.657,41.048,12.905,41.667
2006-01-07,NaN,0.670,49.348,12.130,33.696
2006-01-08,NaN,0.678,60.609,2.087,32.739
2006-01-09,NaN,0.883,49.000,23.174,37.522
2006-01-10,39.889,0.641,41.773,9.409,47.091
2006-01-11,56.381,0.578,53.304,3.652,38.696
2006-01-12,65.500,0.626,41.478,6.391,48.174
2006-01-13,64.045,0.930,55.087,23.652,59.087
2006-01-14,68.727,0.857,60.087,17.870,54.609
2006-01-15,40.550,0.552,61.609,1.304,29.304
2006-01-16,56.261,0.683,63.174,7.130,53.261
2006-01-17,60.478,0.604,48.957,15.870,45.522
2006-01-18,46.542,0.448,65.174,2.130,30.609
2006-01-19,38.125,0.757,38.826,13.522,50.913
2006-01-20,37.000,0.878,38.696,16.304,50.957
2006-01-21,39.500,0.587,48.261,3.043,38.174
2006-01-22,46.458,0.574,56.217,5.696,32.957
2006-01-23,38.318,0.726,54.043,6.304,52.870
2006-01-24,49.083,0.913,39.174,29.348,68.261
2006-01-25,51.696,0.504,49.739,5.783,42.348
2006-01-26,17.792,0.461,30.304,5.043,31.391
2006-01-27,23.667,0.665,20.043,11.609,40.913
2006-01-28,28.217,0.461,50.435,1.304,30.174
2006-01-29,22.783,0.509,26.391,1.522,33.000
2006-01-30,36.143,0.757,22.304,17.826,46.652
2006-01-31,25.458,0.683,26.348,15.261,46.000
2006-02-01,30.333,0.561,40.043,13.261,39.609
2006-02-02,30.900,0.591,47.609,5.826,44.130
2006-02-03,32.474,0.796,49.478,13.652,59.522
2006-02-04,50.400,0.909,67.043,12.652,56.696
2006-02-05,40.850,0.640,67.636,0.636,27.409
2006-02-06,43.200,NaN,52.783,7.130,47.783
2006-02-07,35.545,0.733,34.130,9.545,54.045
2006-02-08,35.095,0.609,24.455,11.909,44.818
2006-02-09,30.182,0.678,40.391,5.739,52.391
2006-02-10,24.636,0.591,11.000,11.174,42.783
2006-02-11,21.458,0.583,15.174,5.913,41.826
2006-02-12,23.273,0.561,18.348,6.217,30.913
2006-02-13,21.583,0.561,21.435,7.435,37.478
2006-02-14,36.905,0.583,27.652,8.522,34.174
2006-02-15,38.500,0.622,21.000,11.913,41.087
2006-02-16,26.208,0.643,25.609,10.087,53.609
2006-02-17,34.958,0.726,25.913,13.174,54.783
2006-02-18,38.318,0.765,30.826,13.217,55.304
2006-02-19,36.550,0.574,53.087,0.696,30.217
2006-02-20,23.947,0.665,42.435,7.913,49.087
2006-02-21,47.238,0.652,30.130,7.565,52.261
2006-02-22,19.833,0.461,28.000,4.739,37.348
2006-02-23,22.500,0.509,26.826,8.261,38.087
2006-02-24,23.333,0.535,22.174,5.957,35.304
2006-02-25,21.458,0.374,28.130,1.217,21.087
2006-02-26,35.174,0.391,36.348,1.348,21.174
2006-02-27,50.529,0.528,42.870,5.826,37.435
2006-02-28,39.053,0.443,59.217,0.739,25.304
2006-03-01,38.000,0.609,45.043,0.000,25.000
2006-03-02,33.526,0.756,35.174,NaN,NaN
2006-03-03,36.385,0.980,47.957,NaN,NaN
2006-03-04,32.100,NaN,53.217,NaN,NaN
2006-03-05,18.565,NaN,37.652,NaN,NaN
2006-03-06,23.957,NaN,19.478,NaN,NaN
2006-03-07,54.850,NaN,36.217,NaN,NaN
2006-03-08,35.905,0.817,39.304,15.500,70.500
2006-03-09,38.261,0.691,46.565,15.565,55.913
2006-03-10,49.227,0.957,20.739,11.609,79.130
2006-03-11,18.909,0.391,41.870,2.217,26.043
2006-03-12,33.227,0.352,33.913,1.696,18.870
2006-03-13,30.632,0.374,36.304,6.391,30.739
2006-03-14,38.478,0.430,34.087,6.696,36.304
2006-03-15,36.474,0.478,39.217,4.739,36.174
2006-03-16,31.429,0.561,22.000,6.739,37.217
2006-03-17,30.773,0.678,26.000,17.609,49.696
2006-03-18,36.357,0.661,35.261,5.043,47.043
2006-03-19,34.667,0.587,44.217,3.826,35.043
2006-03-20,29.400,0.539,33.043,8.957,41.261
2006-03-21,28.545,0.500,40.000,6.087,37.261
2006-03-22,34.952,0.757,34.000,14.696,50.130
2006-03-23,35.350,1.061,17.000,33.217,52.348
2006-03-24,27.708,0.717,21.696,22.609,41.783
2006-03-25,21.524,0.578,30.913,7.739,38.913
2006-03-26,13.667,0.339,38.696,1.435,17.870
2006-03-27,20.708,0.417,17.130,7.652,28.826
2006-03-28,21.333,0.617,31.522,14.826,47.087
2006-03-29,22.609,0.791,5.087,25.391,54.000
2006-03-30,24.042,0.509,22.000,7.609,38.348
2006-03-31,24.864,0.396,21.783,6.522,29.304
2006-04-01,26.864,0.391,31.783,2.000,33.000
2006-04-02,31.565,0.387,31.304,NaN,NaN
2006-04-03,28.565,0.417,19.130,NaN,NaN
2006-04-04,20.208,0.383,18.043,6.286,35.714
2006-04-05,35.455,0.522,22.043,7.913,44.217
2006-04-06,39.045,0.843,11.318,18.087,71.043
2006-04-07,47.091,0.857,21.870,8.870,65.261
2006-04-08,45.889,0.748,25.783,13.565,44.261
2006-04-09,46.571,0.626,55.043,3.652,42.000
2006-04-10,27.318,0.630,20.478,12.957,43.087
2006-04-11,22.292,0.548,20.826,13.696,41.783
2006-04-12,42.000,0.830,24.348,42.609,56.739
2006-04-13,56.647,1.087,47.739,59.391,63.739
2006-04-14,45.200,0.478,69.217,0.696,29.130
2006-04-15,52.053,0.635,78.870,0.609,41.217
2006-04-16,35.000,0.513,32.696,1.565,31.391
2006-04-17,11.792,0.352,21.609,6.087,27.391
2006-04-18,17.000,0.378,20.913,6.826,31.304
2006-04-19,22.500,0.391,21.391,7.522,33.174
2006-04-20,27.542,0.504,26.348,8.478,40.261
2006-04-21,36.750,0.448,31.435,4.870,36.913
